record_id,complaint,department,data_source
11053,"At the at the intersection, fallen electrical cable. It is people may be in danger. this needs attention.",public_safety,SYNTHETIC TRAINING DATA
5946,"At the commercial area, water pressure is very low. It is residents have no supply. we need assistance.",water,SYNTHETIC TRAINING DATA
7395,"At the near the school, wastewater is backing up. It is needs urgent cleaning. please inspect the issue.",sewage,SYNTHETIC TRAINING DATA
637,"At the intersection, broken curb. It is causing congestion. please resolve it.",roads,SYNTHETIC TRAINING DATA
1814,"Please check street light is out residential street. It is needs repair, so please send maintenance.",lighting,SYNTHETIC TRAINING DATA
6048,Can the municipality inspect an issue: sewer cover is leaking behind the shops. It is pedestrians cannot pass. please inspect the issue.,sewage,SYNTHETIC TRAINING DATA
5891,A complaint about water pipe is leaking near the building; it is problem is continuous. please handle it soon.,water,SYNTHETIC TRAINING DATA
1545,I am reporting an issue: street light is out park entrance. It is pedestrians cannot see well. kindly investigate.,lighting,SYNTHETIC TRAINING DATA
7236,Can the municipality inspect drain smells strongly neighborhood entrance; it is it is getting worse. please resolve it.,sewage,SYNTHETIC TRAINING DATA
10119,"There is wall is cracked next door. It is parts may fall, so kindly investigate.",building,SYNTHETIC TRAINING DATA
11549,"At the near my building, traffic signal is hanging loose. It is people may be in danger. kindly investigate.",public_safety,SYNTHETIC TRAINING DATA
3499,Residents noticed garbage bags are piling up next to the mosque; it is has been there for days. please send maintenance.,waste,SYNTHETIC TRAINING DATA
6053,"At the at the intersection, sewage is overflowing. It is bad odor is spreading. please inspect the issue.",sewage,SYNTHETIC TRAINING DATA
6325,"At the near our homes, wastewater is backing up. It is wastewater is pooling. we need assistance Reference area 9240.",sewage,SYNTHETIC TRAINING DATA
11829,Please send a team for smoke coming from a utility box at the intersection; it is area needs immediate attention. please arrange a visit.,public_safety,SYNTHETIC TRAINING DATA
4570,"At the neighborhood, water supply is weak. It is pressure keeps dropping. this needs attention.",water,SYNTHETIC TRAINING DATA
11461,"We have dangerous exposed wires near a public facility. It is situation is unsafe, so kindly investigate.",public_safety,SYNTHETIC TRAINING DATA
2038,I want to report an issue: street lamp is damaged park entrance. It is pedestrians cannot see well. please send maintenance.,lighting,SYNTHETIC TRAINING DATA
135,Please send a team for uneven road school entrance; it is getting worse. please resolve it.,roads,SYNTHETIC TRAINING DATA
223,I want to report an issue: broken curb main road. It is damaging cars. please inspect the issue.,roads,SYNTHETIC TRAINING DATA
10860,Please send a team for an issue: fire in a building on our street. It is could cause injuries. please resolve it.,public_safety,SYNTHETIC TRAINING DATA
9882,"At the next door, construction debris is blocking access. It is debris reaches the road. please send maintenance.",building,SYNTHETIC TRAINING DATA
6721,I want to report an issue: sewer drain is blocked neighborhood entrance. It is bad odor is spreading. please arrange a visit.,sewage,SYNTHETIC TRAINING DATA
1738,"I want to report dark street walkway. It is area is very dark, so please inspect the issue.",lighting,SYNTHETIC TRAINING DATA
7654,We have park irrigation is damaged community park; it is children cannot use it safely. please inspect the issue.,parks,SYNTHETIC TRAINING DATA
10013,"Residents noticed unauthorized structure blocks the walkway commercial street. It is parts may fall, so kindly investigate.",building,SYNTHETIC TRAINING DATA
9680,"A complaint about abandoned building is deteriorating commercial street. It is parts may fall, so this needs attention.",building,SYNTHETIC TRAINING DATA
9748,Our neighborhood has an issue: building work appears unsafe residential block. It is hazard is visible. this needs attention.,building,SYNTHETIC TRAINING DATA
7485,"Can the municipality inspect sewage is overflowing near the school. It is it is getting worse, so please arrange a visit.",sewage,SYNTHETIC TRAINING DATA
6038,"Please check sewage water is in the street behind the shops. It is the drain is not working, so this needs attention.",sewage,SYNTHETIC TRAINING DATA
3284,Waste container is full outside our building and it is attracts insects. please arrange a visit.,waste,SYNTHETIC TRAINING DATA
1947,Several lights are off neighborhood and it is drivers struggle at night. please handle it soon.,lighting,SYNTHETIC TRAINING DATA
10081,"Residents noticed unauthorized structure blocks the walkway next door. It is site needs inspection, so please resolve it.",building,SYNTHETIC TRAINING DATA
11656,Gas leak on our street and it is could cause injuries. please inspect the issue.,public_safety,SYNTHETIC TRAINING DATA
8567,"I want to report grass is dying walking park. It is needs maintenance, so please inspect the issue.",parks,SYNTHETIC TRAINING DATA
4233,There is rubbish is scattered beside the school; it is needs collection. please send maintenance.,waste,SYNTHETIC TRAINING DATA
2441,"We have dark street intersection. It is needs repair, so kindly investigate.",lighting,SYNTHETIC TRAINING DATA
8062,"Please send a team for park bench is broken walking park. It is needs cleaning, so this needs attention.",parks,SYNTHETIC TRAINING DATA
4754,"Please check water supply is weak commercial area. It is needs inspection, so please inspect the issue.",water,SYNTHETIC TRAINING DATA
4821,There is water pressure is very low commercial area; it is the street is wet. please send maintenance.,water,SYNTHETIC TRAINING DATA
8692,Please check an issue: tree branch is blocking the path children's park. It is looks neglected. please resolve it.,parks,SYNTHETIC TRAINING DATA
10678,A complaint about gas leak at the intersection; it is needs a safety response. please inspect the issue.,public_safety,SYNTHETIC TRAINING DATA
11664,Smoke coming from a utility box near a public facility and it is area needs immediate attention. please inspect the issue.,public_safety,SYNTHETIC TRAINING DATA
7175,"Please check sewage water is in the street neighborhood entrance. It is it is getting worse, so this needs attention.",sewage,SYNTHETIC TRAINING DATA
4621,"At the residential street, water pressure is very low. It is the street is wet. we need assistance.",water,SYNTHETIC TRAINING DATA
4869,Please send a team for no water is reaching homes our block; it is problem is continuous. please arrange a visit.,water,SYNTHETIC TRAINING DATA
378,We have an issue: broken curb school entrance. It is unsafe for drivers. we need assistance.,roads,SYNTHETIC TRAINING DATA
6314,Sewage is overflowing residential street and it is pedestrians cannot pass. we need assistance Reference area 2582.,sewage,SYNTHETIC TRAINING DATA
2206,Please send a team for several lights are off walkway; it is area is very dark. this needs attention.,lighting,SYNTHETIC TRAINING DATA
8965,Park irrigation is damaged neighborhood park and it is has been damaged for days. please arrange a visit.,parks,SYNTHETIC TRAINING DATA
1274,Damaged asphalt school entrance and it is blocking traffic. this needs attention.,roads,SYNTHETIC TRAINING DATA
63,Pothole side street and it is hard to avoid. this needs attention.,roads,SYNTHETIC TRAINING DATA
5850,Clean water is flooding the street commercial area and it is pressure keeps dropping. this needs attention.,water,SYNTHETIC TRAINING DATA
7612,We have an issue: park bench is broken neighborhood park. It is needs cleaning. please arrange a visit.,parks,SYNTHETIC TRAINING DATA
158,I want to report an issue: uneven road neighborhood road. It is blocking traffic. please resolve it.,roads,SYNTHETIC TRAINING DATA
7339,"At the near the school, sewer cover is leaking. It is the drain is not working. please inspect the issue.",sewage,SYNTHETIC TRAINING DATA
5859,Clean water is flooding the street commercial area and it is needs inspection. please handle it soon.,water,SYNTHETIC TRAINING DATA
1857,"At the park entrance, several lights are off. It is pedestrians cannot see well. please resolve it.",lighting,SYNTHETIC TRAINING DATA
10425,"Please check abandoned building is deteriorating commercial street. It is work continues late, so please send maintenance.",building,SYNTHETIC TRAINING DATA
2632,"Can the municipality inspect lamp is flickering intersection. It is drivers struggle at night, so please resolve it.",lighting,SYNTHETIC TRAINING DATA
9540,"Can the municipality inspect building work appears unsafe residential block. It is work continues late, so please inspect the issue.",building,SYNTHETIC TRAINING DATA
3746,Residents noticed an issue: garbage bags are piling up neighborhood corner. It is blocks the sidewalk. kindly investigate.,waste,SYNTHETIC TRAINING DATA
4717,"At the residential street, water pipe is leaking. It is pressure keeps dropping. please handle it soon.",water,SYNTHETIC TRAINING DATA
2808,There is lamp is flickering intersection; it is needs repair. kindly investigate.,lighting,SYNTHETIC TRAINING DATA
9593,Our neighborhood has an issue: abandoned building is deteriorating near the sidewalk. It is people cannot pass safely. please send maintenance.,building,SYNTHETIC TRAINING DATA
4486,"I want to report illegal dumping beside the school. It is needs collection, so please arrange a visit.",waste,SYNTHETIC TRAINING DATA
10045,"At the near the sidewalk, building work appears unsafe. It is people cannot pass safely. please arrange a visit.",building,SYNTHETIC TRAINING DATA
1220,"At the main road, pothole. It is getting worse. please arrange a visit.",roads,SYNTHETIC TRAINING DATA
6857,"A complaint about drain smells strongly near the school. It is needs urgent cleaning, so kindly investigate.",sewage,SYNTHETIC TRAINING DATA
11735,Please check an issue: smoke coming from a utility box at the intersection. It is needs a safety response. this needs attention.,public_safety,SYNTHETIC TRAINING DATA
7930,I am reporting an issue: play area is dirty walking park. It is has been damaged for days. please handle it soon.,parks,SYNTHETIC TRAINING DATA
5352,"At the residential street, water meter area is leaking. It is residents have no supply. please send maintenance.",water,SYNTHETIC TRAINING DATA
8527,A complaint about play area is dirty neighborhood park; it is children cannot use it safely. please resolve it.,parks,SYNTHETIC TRAINING DATA
7523,"Residents noticed tree branch is blocking the path community park. It is blocks the walkway, so please inspect the issue.",parks,SYNTHETIC TRAINING DATA
4594,Our neighborhood has water meter area is leaking commercial area; it is needs inspection. please arrange a visit.,water,SYNTHETIC TRAINING DATA
9847,"Please check construction fence is damaged near our house. It is debris reaches the road, so please arrange a visit.",building,SYNTHETIC TRAINING DATA
11835,"At the beside the school, dangerous exposed wires. It is needs a safety response. please send maintenance Reference area 3701.",public_safety,SYNTHETIC TRAINING DATA
5084,Residents noticed water pipe is leaking neighborhood; it is residents have no supply. kindly investigate.,water,SYNTHETIC TRAINING DATA
7076,"Please check sewage is overflowing residential street. It is it is getting worse, so please inspect the issue.",sewage,SYNTHETIC TRAINING DATA
2035,Please send a team for street light is out main avenue; it is visibility is poor. please handle it soon.,lighting,SYNTHETIC TRAINING DATA
8491,Grass is dying community park and it is needs maintenance. we need assistance.,parks,SYNTHETIC TRAINING DATA
11884,Residents noticed fire in a building beside the school; it is needs a safety response. please send maintenance.,public_safety,SYNTHETIC TRAINING DATA
1945,Street light is out main avenue and it is area is very dark. this needs attention.,lighting,SYNTHETIC TRAINING DATA
8994,"At the walking park, play area is dirty. It is children cannot use it safely. please handle it soon.",parks,SYNTHETIC TRAINING DATA
10913,"At the near my building, gas leak. It is area needs immediate attention. kindly investigate.",public_safety,SYNTHETIC TRAINING DATA
8640,Please send a team for grass is dying children's park; it is looks neglected. we need assistance.,parks,SYNTHETIC TRAINING DATA
4014,Garbage bags are piling up public parking area and it is attracts insects. kindly investigate.,waste,SYNTHETIC TRAINING DATA
5486,Water supply is weak neighborhood and it is water is being wasted. kindly investigate.,water,SYNTHETIC TRAINING DATA
10487,I am reporting an issue: building work appears unsafe near the sidewalk. It is site needs inspection. please send maintenance Reference area 4371.,building,SYNTHETIC TRAINING DATA
11613,"A complaint about smoke coming from a utility box beside the school. It is situation is unsafe, so we need assistance.",public_safety,SYNTHETIC TRAINING DATA
2822,I want to report lamp is flickering intersection; it is pedestrians cannot see well. we need assistance.,lighting,SYNTHETIC TRAINING DATA
727,Broken curb side street and it is damaging cars. this needs attention.,roads,SYNTHETIC TRAINING DATA
6823,I want to report an issue: sewage is overflowing near the school. It is wastewater is pooling. we need assistance.,sewage,SYNTHETIC TRAINING DATA
2982,"At the neighborhood, broken light pole. It is visibility is poor. kindly investigate.",lighting,SYNTHETIC TRAINING DATA
8829,We have grass is dying community park; it is needs maintenance. this needs attention.,parks,SYNTHETIC TRAINING DATA
5727,Clean water is flooding the street near the building and it is needs inspection. this needs attention.,water,SYNTHETIC TRAINING DATA
5566,"I am reporting water meter area is leaking residential street. It is problem is continuous, so kindly investigate.",water,SYNTHETIC TRAINING DATA
1600,I am reporting lamp is flickering neighborhood; it is pedestrians cannot see well. we need assistance.,lighting,SYNTHETIC TRAINING DATA
8840,Playground equipment is broken children's park and it is needs cleaning. we need assistance.,parks,SYNTHETIC TRAINING DATA
5322,Our neighborhood has an issue: water meter area is leaking commercial area. It is problem is continuous. we need assistance.,water,SYNTHETIC TRAINING DATA
3027,Can the municipality inspect illegal dumping public parking area; it is is spreading. please handle it soon.,waste,SYNTHETIC TRAINING DATA
11801,Fire in a building on our street and it is residents are worried. please inspect the issue.,public_safety,SYNTHETIC TRAINING DATA
3279,Our neighborhood has an issue: waste container is full beside the school. It is blocks the sidewalk. please send maintenance.,waste,SYNTHETIC TRAINING DATA
3519,"Can the municipality inspect trash was not collected next to the mosque. It is needs collection, so this needs attention.",waste,SYNTHETIC TRAINING DATA
4153,We have garbage is overflowing neighborhood corner; it is smells bad. kindly investigate.,waste,SYNTHETIC TRAINING DATA
1077,"Please check damaged asphalt main road. It is blocking traffic, so please arrange a visit.",roads,SYNTHETIC TRAINING DATA
5402,Water supply is weak outside the house and it is pressure keeps dropping. please send maintenance Reference area 7518.,water,SYNTHETIC TRAINING DATA
10740,A complaint about an issue: gas leak near my building. It is could cause injuries. please handle it soon.,public_safety,SYNTHETIC TRAINING DATA
3972,"There is garbage bags are piling up outside our building. It is smells bad, so kindly investigate.",waste,SYNTHETIC TRAINING DATA
11061,Fallen electrical cable near a public facility and it is could cause injuries. kindly investigate.,public_safety,SYNTHETIC TRAINING DATA
8024,Our neighborhood has an issue: park bench is broken playground. It is blocks the walkway. we need assistance.,parks,SYNTHETIC TRAINING DATA
7846,Please send a team for park bench is broken public garden; it is children cannot use it safely. please arrange a visit.,parks,SYNTHETIC TRAINING DATA
2106,"We have broken light pole walkway. It is pedestrians cannot see well, so please inspect the issue.",lighting,SYNTHETIC TRAINING DATA
9828,Building work appears unsafe next door and it is parts may fall. please handle it soon.,building,SYNTHETIC TRAINING DATA
10887,"At the near a public facility, fire in a building. It is could cause injuries. please send maintenance.",public_safety,SYNTHETIC TRAINING DATA
3965,Garbage bags are piling up neighborhood corner and it is is spreading. please arrange a visit.,waste,SYNTHETIC TRAINING DATA
11370,"At the near my building, dangerous exposed wires. It is people may be in danger. please handle it soon.",public_safety,SYNTHETIC TRAINING DATA
381,Please send a team for broken curb neighborhood road; it is unsafe for drivers. please inspect the issue.,roads,SYNTHETIC TRAINING DATA
9438,Wall is cracked next door and it is people cannot pass safely. please send maintenance.,building,SYNTHETIC TRAINING DATA
7360,"At the near our homes, wastewater is backing up. It is wastewater is pooling. we need assistance Reference area 6771.",sewage,SYNTHETIC TRAINING DATA
8506,There is park irrigation is damaged public garden; it is needs maintenance. we need assistance.,parks,SYNTHETIC TRAINING DATA
10878,"At the near a public facility, gas leak. It is people may be in danger. please arrange a visit.",public_safety,SYNTHETIC TRAINING DATA
8258,Can the municipality inspect an issue: tree branch is blocking the path playground. It is needs cleaning. please resolve it.,parks,SYNTHETIC TRAINING DATA
9668,"A complaint about construction debris is blocking access near our house. It is hazard is visible, so we need assistance.",building,SYNTHETIC TRAINING DATA
5448,"At the commercial area, water supply is weak. It is problem is continuous. this needs attention.",water,SYNTHETIC TRAINING DATA
11267,Our neighborhood has an issue: dangerous exposed wires near my building. It is people may be in danger. this needs attention.,public_safety,SYNTHETIC TRAINING DATA
10866,"At the near a public facility, traffic signal is hanging loose. It is people may be in danger. we need assistance.",public_safety,SYNTHETIC TRAINING DATA
11473,"There is fire in a building near a public facility. It is area needs immediate attention, so we need assistance.",public_safety,SYNTHETIC TRAINING DATA
9034,Our neighborhood has an issue: unauthorized structure blocks the walkway next door. It is debris reaches the road. please inspect the issue.,building,SYNTHETIC TRAINING DATA
7888,Play area is dirty walking park and it is looks neglected. please resolve it.,parks,SYNTHETIC TRAINING DATA
11739,Please check traffic signal is hanging loose beside the school; it is needs a safety response. please arrange a visit.,public_safety,SYNTHETIC TRAINING DATA
10452,"A complaint about unauthorized structure blocks the walkway near the sidewalk. It is parts may fall, so please resolve it.",building,SYNTHETIC TRAINING DATA
7308,A complaint about an issue: sewage water is in the street at the intersection. It is needs urgent cleaning. please resolve it.,sewage,SYNTHETIC TRAINING DATA
2837,Broken light pole residential street and it is area is very dark. please send maintenance Reference area 3296.,lighting,SYNTHETIC TRAINING DATA
7486,Residents noticed an issue: sewage is overflowing residential street. It is pedestrians cannot pass. kindly investigate Reference area 1510.,sewage,SYNTHETIC TRAINING DATA
5102,There is an issue: no water is reaching homes neighborhood. It is residents have no supply. kindly investigate.,water,SYNTHETIC TRAINING DATA
1271,Please check an issue: broken curb side street. It is unsafe for drivers. please resolve it.,roads,SYNTHETIC TRAINING DATA
7116,Sewer cover is leaking neighborhood entrance and it is wastewater is pooling. please inspect the issue.,sewage,SYNTHETIC TRAINING DATA
302,Residents noticed open manhole neighborhood road; it is blocking traffic. please arrange a visit.,roads,SYNTHETIC TRAINING DATA
11515,"Residents noticed gas leak on our street. It is could cause injuries, so this needs attention.",public_safety,SYNTHETIC TRAINING DATA
2993,"I am reporting street light is out intersection. It is area is very dark, so please inspect the issue.",lighting,SYNTHETIC TRAINING DATA
3696,"We have waste container is full beside the school. It is needs collection, so please arrange a visit.",waste,SYNTHETIC TRAINING DATA
4410,A complaint about an issue: rubbish is scattered public parking area. It is is spreading. please arrange a visit.,waste,SYNTHETIC TRAINING DATA
5786,"Can the municipality inspect clean water is flooding the street residential street. It is needs inspection, so please arrange a visit.",water,SYNTHETIC TRAINING DATA
1748,Please check an issue: several lights are off park entrance. It is has been dark for days. please arrange a visit.,lighting,SYNTHETIC TRAINING DATA
5428,Water meter area is leaking near the building and it is problem is continuous. kindly investigate.,water,SYNTHETIC TRAINING DATA
9952,Abandoned building is deteriorating residential block and it is parts may fall. we need assistance.,building,SYNTHETIC TRAINING DATA
10184,Building work appears unsafe next door and it is site needs inspection. kindly investigate.,building,SYNTHETIC TRAINING DATA
5339,"A complaint about clean water is flooding the street our block. It is pressure keeps dropping, so please send maintenance.",water,SYNTHETIC TRAINING DATA
4046,"At the beside the school, garbage bags are piling up. It is blocks the sidewalk. please arrange a visit.",waste,SYNTHETIC TRAINING DATA
932,"At the service road, open manhole. It is causing congestion. please send maintenance.",roads,SYNTHETIC TRAINING DATA
3150,Residents noticed garbage is overflowing beside the school; it is attracts insects. please inspect the issue.,waste,SYNTHETIC TRAINING DATA
6525,"I want to report drain smells strongly behind the shops. It is it is getting worse, so kindly investigate.",sewage,SYNTHETIC TRAINING DATA
4881,Water supply is weak outside the house and it is pressure keeps dropping. please send maintenance.,water,SYNTHETIC TRAINING DATA
4931,I want to report water pressure is very low residential street; it is the street is wet. this needs attention.,water,SYNTHETIC TRAINING DATA
2757,"Please check street lamp is damaged residential street. It is drivers struggle at night, so please resolve it.",lighting,SYNTHETIC TRAINING DATA
9210,"We have construction debris is blocking access residential block. It is site needs inspection, so please resolve it.",building,SYNTHETIC TRAINING DATA
9002,"At the residential block, building work appears unsafe. It is work continues late. please send maintenance.",building,SYNTHETIC TRAINING DATA
5585,No water is reaching homes outside the house and it is residents have no supply. kindly investigate.,water,SYNTHETIC TRAINING DATA
5885,A complaint about clean water is flooding the street commercial area; it is problem is continuous. this needs attention.,water,SYNTHETIC TRAINING DATA
8789,Please check tree branch is blocking the path children's park; it is looks neglected. please inspect the issue.,parks,SYNTHETIC TRAINING DATA
8629,"At the walking park, playground equipment is broken. It is blocks the walkway. kindly investigate.",parks,SYNTHETIC TRAINING DATA
6513,"At the near our homes, wastewater is backing up. It is needs urgent cleaning. this needs attention.",sewage,SYNTHETIC TRAINING DATA
8225,Please check an issue: play area is dirty walking park. It is has been damaged for days. please handle it soon.,parks,SYNTHETIC TRAINING DATA
10420,"Can the municipality inspect wall is cracked near our house. It is site needs inspection, so please resolve it.",building,SYNTHETIC TRAINING DATA
3542,"At the beside the school, garbage bags are piling up. It is smells bad. please inspect the issue.",waste,SYNTHETIC TRAINING DATA
3394,"At the next to the mosque, waste container is full. It is blocks the sidewalk. kindly investigate.",waste,SYNTHETIC TRAINING DATA
2356,Street lamp is damaged park entrance and it is needs repair. we need assistance.,lighting,SYNTHETIC TRAINING DATA
6224,Residents noticed an issue: sewage water is in the street near the school. It is it is getting worse. please resolve it.,sewage,SYNTHETIC TRAINING DATA
3189,"I am reporting rubbish is scattered outside our building. It is is spreading, so please handle it soon.",waste,SYNTHETIC TRAINING DATA
11223,Our neighborhood has fallen electrical cable near a public facility; it is residents are worried. please arrange a visit.,public_safety,SYNTHETIC TRAINING DATA
5229,"A complaint about water supply is weak neighborhood. It is water is being wasted, so please send maintenance.",water,SYNTHETIC TRAINING DATA
6055,Can the municipality inspect an issue: drain smells strongly at the intersection. It is needs urgent cleaning. we need assistance.,sewage,SYNTHETIC TRAINING DATA
11021,"Can the municipality inspect fallen electrical cable at the intersection. It is area needs immediate attention, so please arrange a visit.",public_safety,SYNTHETIC TRAINING DATA
2337,"I want to report lamp is flickering walkway. It is needs repair, so please arrange a visit.",lighting,SYNTHETIC TRAINING DATA
2602,"At the neighborhood, broken light pole. It is needs repair. please send maintenance.",lighting,SYNTHETIC TRAINING DATA
2941,"At the main avenue, dark street. It is needs repair. please send maintenance.",lighting,SYNTHETIC TRAINING DATA
3403,Please send a team for trash was not collected beside the school; it is has been there for days. please handle it soon.,waste,SYNTHETIC TRAINING DATA
6091,A complaint about an issue: sewer drain is blocked near our homes. It is it is getting worse. we need assistance.,sewage,SYNTHETIC TRAINING DATA
1876,Please check an issue: street lamp is damaged main avenue. It is pedestrians cannot see well. please handle it soon.,lighting,SYNTHETIC TRAINING DATA
10249,We have an issue: construction fence is damaged near the sidewalk. It is site needs inspection. this needs attention.,building,SYNTHETIC TRAINING DATA
7152,Sewer drain is blocked neighborhood entrance and it is pedestrians cannot pass. we need assistance.,sewage,SYNTHETIC TRAINING DATA
4320,Trash was not collected public parking area and it is smells bad. please inspect the issue.,waste,SYNTHETIC TRAINING DATA
11949,Gas leak on our street and it is needs a safety response. please handle it soon.,public_safety,SYNTHETIC TRAINING DATA
8220,There is grass is dying public garden; it is needs cleaning. kindly investigate.,parks,SYNTHETIC TRAINING DATA
5267,There is an issue: water pressure is very low our block. It is problem is continuous. please send maintenance.,water,SYNTHETIC TRAINING DATA
7293,"At the at the intersection, sewage is overflowing. It is pedestrians cannot pass. please inspect the issue.",sewage,SYNTHETIC TRAINING DATA
10942,"I am reporting gas leak on our street. It is could cause injuries, so please handle it soon.",public_safety,SYNTHETIC TRAINING DATA
1479,Open manhole main road and it is blocking traffic. please handle it soon.,roads,SYNTHETIC TRAINING DATA
1718,We have an issue: street light is out intersection. It is drivers struggle at night. this needs attention.,lighting,SYNTHETIC TRAINING DATA
8190,Grass is dying walking park and it is has been damaged for days. please inspect the issue Reference area 9138.,parks,SYNTHETIC TRAINING DATA
9512,Construction debris is blocking access corner property and it is site needs inspection. please inspect the issue.,building,SYNTHETIC TRAINING DATA
11641,Our neighborhood has an issue: smoke coming from a utility box near a public facility. It is needs a safety response. please resolve it.,public_safety,SYNTHETIC TRAINING DATA
9827,I am reporting unauthorized structure blocks the walkway near the sidewalk; it is site needs inspection. this needs attention.,building,SYNTHETIC TRAINING DATA
1226,Broken curb school entrance and it is blocking traffic. kindly investigate.,roads,SYNTHETIC TRAINING DATA
11062,Please send a team for dangerous exposed wires near a public facility; it is situation is unsafe. please resolve it.,public_safety,SYNTHETIC TRAINING DATA
4299,"Residents noticed trash was not collected next to the mosque. It is blocks the sidewalk, so this needs attention.",waste,SYNTHETIC TRAINING DATA
5552,"At the near the building, water pressure is very low. It is problem is continuous. please arrange a visit.",water,SYNTHETIC TRAINING DATA
11862,Our neighborhood has fire in a building outside the market; it is could cause injuries. we need assistance.,public_safety,SYNTHETIC TRAINING DATA
5605,"At the our block, clean water is flooding the street. It is the street is wet. please resolve it.",water,SYNTHETIC TRAINING DATA
10034,Can the municipality inspect unauthorized structure blocks the walkway residential block; it is work continues late. this needs attention.,building,SYNTHETIC TRAINING DATA
8189,There is park irrigation is damaged public garden; it is looks neglected. we need assistance.,parks,SYNTHETIC TRAINING DATA
4257,"Please send a team for waste container is full beside the school. It is attracts insects, so please inspect the issue.",waste,SYNTHETIC TRAINING DATA
2884,"At the residential street, dark street. It is area is very dark. this needs attention.",lighting,SYNTHETIC TRAINING DATA
6440,Wastewater is backing up near our homes and it is pedestrians cannot pass. this needs attention.,sewage,SYNTHETIC TRAINING DATA
9646,"At the near our house, construction fence is damaged. It is work continues late. please arrange a visit Reference area 9674.",building,SYNTHETIC TRAINING DATA
4630,Water meter area is leaking neighborhood and it is residents have no supply. kindly investigate.,water,SYNTHETIC TRAINING DATA
11119,Please send a team for smoke coming from a utility box beside the school; it is could cause injuries. please handle it soon.,public_safety,SYNTHETIC TRAINING DATA
4751,"At the near the building, water supply is weak. It is problem is continuous. we need assistance.",water,SYNTHETIC TRAINING DATA
11702,A complaint about an issue: fire in a building at the intersection. It is people may be in danger. this needs attention.,public_safety,SYNTHETIC TRAINING DATA
